epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,208.699,2.68965,0.12963,0.49877,2.6084,0.000174482,0.000174482,0.000174482
2,411.652,2.58832,0.16667,0.55802,2.54807,0.000346352,0.000346352,0.000346352
3,614.161,2.50243,0.15679,0.60123,2.46593,0.000514751,0.000514751,0.000514751
4,814.488,2.46948,0.1679,0.60123,2.42184,0.000510378,0.000510378,0.000510378
5,1018.11,2.39024,0.19383,0.63457,2.4308,0.00050517,0.00050517,0.00050517
6,1219.61,2.3615,0.18148,0.62099,2.45256,0.000499963,0.000499963,0.000499963
7,1424.02,2.29775,0.2037,0.66296,2.36789,0.000494756,0.000494756,0.000494756
8,1622.75,2.2722,0.22099,0.67531,2.36803,0.000489548,0.000489548,0.000489548
9,1823.15,2.23768,0.22593,0.67531,2.34423,0.000484341,0.000484341,0.000484341
10,2021.42,2.20876,0.22099,0.67037,2.3376,0.000479133,0.000479133,0.000479133
11,2220.65,2.18908,0.23951,0.67778,2.31994,0.000473926,0.000473926,0.000473926
12,2421.64,2.15693,0.20864,0.68395,2.32179,0.000468719,0.000468719,0.000468719
13,2621.09,2.1276,0.23951,0.69877,2.34594,0.000463511,0.000463511,0.000463511
14,2817.62,2.09929,0.23457,0.70247,2.33425,0.000458304,0.000458304,0.000458304
15,3012.19,2.08373,0.24321,0.70864,2.316,0.000453096,0.000453096,0.000453096
16,3207.93,2.06735,0.2358,0.70494,2.33615,0.000447889,0.000447889,0.000447889
17,3404.89,2.04114,0.25185,0.68519,2.33534,0.000442682,0.000442682,0.000442682
18,3597.63,2.02009,0.23333,0.7037,2.31508,0.000437474,0.000437474,0.000437474
19,3785.05,2.01885,0.23951,0.70988,2.32475,0.000432267,0.000432267,0.000432267
20,3977.66,1.97687,0.25185,0.70494,2.37314,0.000427059,0.000427059,0.000427059
21,4172.94,1.9614,0.25432,0.69753,2.35902,0.000421852,0.000421852,0.000421852
22,4372.54,1.93702,0.25185,0.69383,2.32386,0.000416645,0.000416645,0.000416645
23,4566.73,1.92558,0.24938,0.70247,2.33963,0.000411437,0.000411437,0.000411437
24,4765.16,1.89453,0.25556,0.69877,2.36322,0.00040623,0.00040623,0.00040623
25,4968.66,1.89447,0.25556,0.70123,2.35787,0.000401022,0.000401022,0.000401022
26,5168.82,1.8816,0.26049,0.7,2.33241,0.000395815,0.000395815,0.000395815
27,5369.71,1.84717,0.25556,0.71852,2.34452,0.000390608,0.000390608,0.000390608
28,5569.39,1.84649,0.2679,0.73827,2.36722,0.0003854,0.0003854,0.0003854
29,5768.83,1.82969,0.27037,0.71728,2.36057,0.000380193,0.000380193,0.000380193
30,5968.44,1.79893,0.27531,0.70494,2.38768,0.000374985,0.000374985,0.000374985
31,6166.86,1.78509,0.2642,0.7037,2.38936,0.000369778,0.000369778,0.000369778
32,6361.81,1.78319,0.26049,0.73086,2.3334,0.000364571,0.000364571,0.000364571
33,6560.95,1.74531,0.27037,0.71728,2.45066,0.000359363,0.000359363,0.000359363
34,6760.79,1.74698,0.2716,0.72346,2.38165,0.000354156,0.000354156,0.000354156
35,6957.8,1.73581,0.26914,0.72346,2.38413,0.000348948,0.000348948,0.000348948
36,7153.81,1.71615,0.26667,0.72099,2.40729,0.000343741,0.000343741,0.000343741
37,7352.94,1.69961,0.25926,0.71975,2.48858,0.000338534,0.000338534,0.000338534
38,7552.65,1.68527,0.26543,0.7284,2.41512,0.000333326,0.000333326,0.000333326
39,7754.35,1.67794,0.26543,0.72346,2.38524,0.000328119,0.000328119,0.000328119
40,7953.79,1.6592,0.2642,0.72593,2.46823,0.000322911,0.000322911,0.000322911
41,8150.28,1.63722,0.26296,0.71975,2.4423,0.000317704,0.000317704,0.000317704
42,8346.79,1.6558,0.27284,0.70741,2.48587,0.000312497,0.000312497,0.000312497
43,8549.7,1.63189,0.26173,0.7321,2.4391,0.000307289,0.000307289,0.000307289
44,8754.77,1.63156,0.25062,0.70864,2.47978,0.000302082,0.000302082,0.000302082
45,8957.67,1.61069,0.2679,0.7284,2.42535,0.000296874,0.000296874,0.000296874
46,9154.68,1.58077,0.2679,0.72469,2.4736,0.000291667,0.000291667,0.000291667
47,9353.5,1.60845,0.27037,0.71358,2.48109,0.00028646,0.00028646,0.00028646
48,9552.98,1.5634,0.26296,0.72593,2.47068,0.000281252,0.000281252,0.000281252
49,9754.5,1.55781,0.25062,0.72346,2.5652,0.000276045,0.000276045,0.000276045
50,9951.97,1.57011,0.24568,0.71975,2.50936,0.000270837,0.000270837,0.000270837
51,10152.5,1.53952,0.25556,0.7,2.62951,0.00026563,0.00026563,0.00026563
52,10350.3,1.52485,0.27037,0.71852,2.5247,0.000260423,0.000260423,0.000260423
53,10550.4,1.48685,0.25802,0.72593,2.57973,0.000255215,0.000255215,0.000255215
54,10751.3,1.52618,0.27654,0.72963,2.57113,0.000250008,0.000250008,0.000250008
55,10950.7,1.50084,0.27284,0.73086,2.55822,0.0002448,0.0002448,0.0002448
56,11151.9,1.49674,0.2642,0.70988,2.53205,0.000239593,0.000239593,0.000239593
57,11350.1,1.48631,0.27531,0.71728,2.54128,0.000234386,0.000234386,0.000234386
58,11550.6,1.47994,0.26914,0.72099,2.56464,0.000229178,0.000229178,0.000229178
59,11750.3,1.46337,0.27407,0.71111,2.54682,0.000223971,0.000223971,0.000223971
60,11953.4,1.4599,0.25802,0.72346,2.6363,0.000218763,0.000218763,0.000218763
61,12155.9,1.44175,0.26173,0.72469,2.53532,0.000213556,0.000213556,0.000213556
62,12362.9,1.46411,0.25679,0.72346,2.57689,0.000208349,0.000208349,0.000208349
63,12569.7,1.4395,0.25802,0.71975,2.62659,0.000203141,0.000203141,0.000203141
64,12771.6,1.44423,0.25556,0.71728,2.56292,0.000197934,0.000197934,0.000197934
65,12975.6,1.42033,0.26173,0.73086,2.57379,0.000192726,0.000192726,0.000192726
66,13177.9,1.43431,0.27037,0.7284,2.53152,0.000187519,0.000187519,0.000187519
67,13379.3,1.41805,0.26049,0.71975,2.57059,0.000182312,0.000182312,0.000182312
68,13582.2,1.40461,0.27037,0.72099,2.58737,0.000177104,0.000177104,0.000177104
69,13785.2,1.40609,0.26296,0.71235,2.57164,0.000171897,0.000171897,0.000171897
70,13987.1,1.40211,0.25556,0.72469,2.62206,0.000166689,0.000166689,0.000166689
71,14189,1.38249,0.25432,0.71975,2.63306,0.000161482,0.000161482,0.000161482
72,14390.9,1.38781,0.25556,0.73086,2.56412,0.000156275,0.000156275,0.000156275
73,14593.3,1.38509,0.25432,0.70864,2.62972,0.000151067,0.000151067,0.000151067
74,14794.8,1.36001,0.25309,0.71605,2.61014,0.00014586,0.00014586,0.00014586
75,14996.8,1.36466,0.26173,0.71728,2.63647,0.000140652,0.000140652,0.000140652
76,15199.4,1.36597,0.26049,0.70617,2.60927,0.000135445,0.000135445,0.000135445
77,15401.2,1.35276,0.2642,0.70741,2.60517,0.000130238,0.000130238,0.000130238
78,15603.7,1.34565,0.2716,0.7284,2.60165,0.00012503,0.00012503,0.00012503
79,15807.9,1.3322,0.2642,0.72716,2.64692,0.000119823,0.000119823,0.000119823
80,16010,1.32678,0.26543,0.7284,2.61018,0.000114615,0.000114615,0.000114615
81,16213.8,1.3459,0.25926,0.73086,2.59952,0.000109408,0.000109408,0.000109408
82,16418.7,1.35908,0.26173,0.7321,2.58921,0.000104201,0.000104201,0.000104201
83,16621.2,1.34969,0.25926,0.73333,2.60713,9.89932e-05,9.89932e-05,9.89932e-05
84,16820.5,1.31931,0.2679,0.72593,2.62159,9.37858e-05,9.37858e-05,9.37858e-05
85,17021.9,1.30335,0.26914,0.73086,2.61232,8.85784e-05,8.85784e-05,8.85784e-05
86,17222.3,1.30252,0.2716,0.72963,2.664,8.3371e-05,8.3371e-05,8.3371e-05
87,17425.8,1.32166,0.26543,0.72469,2.64367,7.81636e-05,7.81636e-05,7.81636e-05
88,17628.8,1.32228,0.26543,0.71975,2.64028,7.29562e-05,7.29562e-05,7.29562e-05
89,17830.7,1.30576,0.26296,0.72963,2.6042,6.77488e-05,6.77488e-05,6.77488e-05
90,18032.7,1.30907,0.27037,0.72716,2.66168,6.25414e-05,6.25414e-05,6.25414e-05
91,18236,1.27518,0.25802,0.72469,2.60416,5.7334e-05,5.7334e-05,5.7334e-05
92,18437.8,1.30791,0.26296,0.72346,2.62093,5.21266e-05,5.21266e-05,5.21266e-05
93,18640.3,1.27182,0.26296,0.72469,2.63126,4.69192e-05,4.69192e-05,4.69192e-05
94,18841.3,1.2916,0.26543,0.72346,2.65474,4.17118e-05,4.17118e-05,4.17118e-05
95,19041.4,1.25358,0.26543,0.72716,2.63692,3.65044e-05,3.65044e-05,3.65044e-05
96,19241.6,1.27601,0.2679,0.72469,2.63355,3.1297e-05,3.1297e-05,3.1297e-05
97,19441.4,1.2652,0.2642,0.72593,2.64285,2.60896e-05,2.60896e-05,2.60896e-05
98,19644.1,1.27399,0.26914,0.72346,2.64823,2.08822e-05,2.08822e-05,2.08822e-05
99,19848.1,1.275,0.26914,0.72963,2.6269,1.56748e-05,1.56748e-05,1.56748e-05
100,20054.5,1.27203,0.26667,0.72346,2.63663,1.04674e-05,1.04674e-05,1.04674e-05
